Date,Mkt-RF,SMB,HML,RF
194112,-4.68,-3.33,-5.04,0.01
194201,0.7,7.51,9.93,0.02
194202,-2.42,1.69,-1.06,0.01
194203,-6.58,2.29,-1.22,0.01
194204,-4.32,-1.03,1.87,0.01
194205,6.07,-3.03,-2.97,0.03
194206,2.53,-0.9,0.25,0.02
194207,3.46,-0.33,2.56,0.03
194208,1.84,-0.39,1.94,0.03
194209,2.6,0.14,3.4,0.03
194210,6.74,1.39,6.68,0.03
194211,0.22,-0.77,-5.35,0.03
194212,5.01,-2.09,0.78,0.03
194301,7.3,8.34,7.66,0.03
194302,5.96,4.47,6.41,0.03
194303,6.18,4.66,5.52,0.03
194304,0.66,1.92,6.36,0.03
194305,5.69,4.2,3.13,0.03
194306,1.66,-0.63,-0.95,0.03
194307,-4.65,-2.68,-2.47,0.03
194308,1.27,-0.8,-0.88,0.03
194309,2.42,1.31,1.35,0.03
194310,-1.25,0.9,1.33,0.03
194311,-5.88,-1.58,-4.87,0.03
194312,6.33,3.29,3.13,0.03
194401,1.78,2.51,2.75,0.03
194402,0.34,-0.28,0.74,0.03
194403,2.42,1.86,3.05,0.02
194404,-1.66,-1.41,-0.97,0.03
194405,5.07,1.49,1.31,0.03
194406,5.59,4.12,2.54,0.03
194407,-1.55,0.73,-0.62,0.03
194408,1.56,2.11,-1.3,0.03
194409,0,0.58,-0.97,0.02
194410,0.22,-0.24,-0.24,0.03
194411,1.62,0.46,1.74,0.03
194412,4.1,1.61,6.63,0.02
194501,1.89,2.85,0.62,0.03
194502,6.41,1.54,4.33,0.02
194503,-3.89,-1.8,-1.58,0.02
194504,7.72,0.22,3.98,0.03
194505,1.83,1.31,1.16,0.03
194506,0.32,2.95,4.42,0.02
194507,-2.24,-1.68,-2.52,0.03
194508,6.08,1.49,-4.32,0.03
194509,4.78,1.94,0.26,0.03
194510,3.87,2.46,1.68,0.03
194511,5.43,3.82,4.43,0.02
194512,1.15,2.66,-2.09,0.03
194601,6.3,4.02,1.89,0.03
194602,-5.82,-0.77,-1.37,0.03
194603,5.84,0.3,-0.8,0.03
194604,4.26,2.21,-0.22,0.03
194605,3.96,1.47,1.74,0.03
194606,-3.94,-1.53,0.01,0.03
194607,-2.58,-2.11,0.03,0.03
194608,-6.42,-1.83,0.17,0.03
194609,-10.05,-4.2,-2.28,0.03
194610,-1.45,-0.26,3.5,0.03
194611,0.09,-0.46,1.24,0.03
194612,5.06,0.05,-1.15,0.03
194701,1.48,1.69,-0.66,0.03
194702,-1.19,0.68,-0.25,0.03
194703,-1.74,-1.68,0.47,0.03
194704,-4.82,-4.09,0.75,0.03
194705,-1.03,-3.3,0.15,0.03
194706,5.34,-0.3,-0.37,0.03
194707,4.09,1.51,2.92,0.03
194708,-1.78,0.39,0.13,0.03
194709,-0.5,1.56,1.47,0.06
194710,2.4,0.57,0.08,0.06
194711,-1.89,-1.77,0.99,0.06
194712,2.94,-2.38,3.91,0.08
194801,-3.8,2.4,1.15,0.07
194802,-4.41,-1.73,0.01,0.07
194803,8.19,0.15,4.54,0.09
194804,3.7,-1.66,4.07,0.08
194805,7.38,0.99,-1.16,0.08
194806,-0.11,-1.77,2.64,0.09
194807,-5.12,-0.34,0.11,0.08
194808,0.3,-1.1,0.24,0.09
194809,-2.99,-1.28,-1.8,0.04
194810,5.97,-1.5,0.63,0.04
194811,-9.1,-0.62,-4.5,0.04
194812,3.18,-2.78,-1.8,0.04
194901,0.2,1.64,1.35,0.1
194902,-3.04,-1.81,-0.82,0.09
194903,4.05,2.32,1.52,0.1
194904,-1.88,-0.97,-1.06,0.09
194905,-2.84,-0.84,-2.55,0.1
194906,0.21,-0.91,-1.78,0.1
194907,5.49,0.6,0.43,0.09
194908,2.57,0.2,-0.41,0.09
194909,3.09,1,0.18,0.09
194910,3.03,1.05,-0.41,0.09
194911,1.8,-0.96,-0.88,0.08
194912,5.12,2.09,1.66,0.09
195001,1.64,3.36,0.19,0.09
195002,1.37,0.11,-0.72,0.09
195003,1.12,-1.37,-2.75,0.1
195004,3.94,1.9,1.38,0.09
195005,4.27,-2.06,0.44,0.1
195006,-5.89,-2.38,-0.75,0.1
195007,1.51,0.55,13.47,0.1
195008,4.97,0.8,-1.45,0.1
195009,4.78,0.52,-0.93,0.1
195010,-0.23,-0.52,1.42,0.12
195011,2.74,-0.85,3.26,0.11
195012,5.66,1.5,7.22,0.11
195101,5.69,1.76,3.79,0.13
195102,1.34,0.14,-2.92,0.1
195103,-2.2,-0.67,-4.17,0.11
195104,4.83,-1.46,3.29,0.13
195105,-2.38,0.05,-1.38,0.12
195106,-2.65,-1.97,-3.99,0.12
195107,6.99,-1.87,1.95,0.13
195108,4.38,0.84,0.21,0.13
195109,0.8,2,0.72,0.12
195110,-2.4,-0.41,0.11,0.16
195111,0.48,-0.31,0.38,0.11
195112,3.37,-2.05,-1.91,0.12
195201,1.54,-0.74,1.87,0.15
195202,-2.62,0.67,-0.26,0.12
195203,4.45,-2.98,2.26,0.11
195204,-5.01,0.39,0.26,0.12
195205,3.16,-1.05,0.15,0.13
195206,3.78,-1.6,1.19,0.15
195207,1,-0.32,-0.35,0.15
195208,-0.81,1.16,-0.12,0.15
195209,-2.06,1.23,-1.64,0.16
195210,-0.69,-1.1,-0.3,0.14
195211,5.78,-0.63,1.08,0.1
195212,2.96,-1.41,0.18,0.16
195301,-0.29,3.5,1.25,0.16
195302,-0.31,2.2,-0.1,0.14
195303,-1.52,-0.01,-1.01,0.18
195304,-2.91,0.31,1.48,0.16
195305,0.54,-0.08,0.14,0.17
195306,-1.85,-1.75,-0.49,0.18
195307,2.38,-1,-0.37,0.15
195308,-4.58,0.42,-3.62,0.17
195309,0.15,-0.77,-2.59,0.16
195310,4.58,-1.37,0.08,0.13
195311,2.75,-1.22,-0.35,0.08
195312,-0.05,-0.75,-2.96,0.13
195401,5.14,0.47,3.48,0.11
195402,1.68,-0.19,-0.24,0.07
195403,3.65,-0.5,-1.53,0.08
195404,4.2,-3.45,-0.5,0.09
195405,3.11,0.38,2.54,0.05
195406,1.09,0.4,0.01,0.06
195407,4.99,0.95,4.31,0.05
195408,-2.3,2.74,-1.66,0.05
195409,6.34,-2.46,0.53,0.09
195410,-1.69,0.49,0.7,0.07
195411,9.47,-2.47,4,0.06
195412,5.45,2.1,5.68,0.08
195501,0.62,0.32,2.03,0.08
195502,3.04,1.44,0.75,0.09
195503,-0.21,-0.61,2.06,0.1
195504,3.13,-1.79,0.81,0.1
195505,1.05,-0.25,-0.82,0.14
195506,6.48,-4.56,1.69,0.1
195507,1.93,-1.11,0.35,0.1
195508,0.27,-0.45,0.72,0.16
195509,-0.36,0.28,-1.04,0.16
195510,-2.75,1.49,-0.13,0.18
195511,6.99,-2.13,0.33,0.17
195512,1.46,2.14,-2.36,0.18
195601,-3.02,0.35,0.96,0.22
195602,3.76,-0.93,-0.36,0.19
195603,6.67,-1.97,-0.79,0.15
195604,0.32,-0.01,-0.14,0.19
195605,-5.15,1.38,-1.21,0.23
195606,3.52,-1.44,-1.13,0.2
195607,4.86,-1.78,0.27,0.22
195608,-3.2,2.27,-1.16,0.17
195609,-5.15,1.66,1.76,0.18
195610,0.47,-0.13,0.01,0.25
195611,0.26,-0.17,1.85,0.2
195612,3.25,-0.06,-1.76,0.24
195701,-3.48,3.76,2.17,0.27
195702,-2.11,-0.67,-0.56,0.24
195703,2.18,0.22,-0.4,0.23
195704,4.26,-1.79,-1.1,0.25
195705,3.4,-1.05,-2.18,0.26
195706,-0.75,0.65,-0.17,0.24
195707,0.59,-0.53,0.04,0.3
195708,-5.25,-0.04,-0.35,0.25
195709,-6.02,0.02,0.86,0.26
195710,-4.4,-2.6,-1.83,0.29
195711,2.27,0.34,-2.78,0.28
195712,-3.98,-0.97,-1.73,0.24
195801,4.71,4.32,4.13,0.28
195802,-1.53,0.68,0.2,0.12
195803,3.29,0.8,-1.2,0.09
195804,3,-0.65,1.63,0.08
195805,2.35,2.14,-0.22,0.11
195806,2.92,-0.22,0.5,0.03
195807,4.42,0.46,3.13,0.07
195808,1.87,1.18,0.33,0.04
195809,4.67,0.07,3.04,0.19
195810,2.57,1.16,-1.27,0.18
195811,2.94,2.08,-1.32,0.11
195812,5.07,-2.06,-0.02,0.22
195901,0.71,2.99,2.99,0.21
195902,0.94,1.56,1,0.19
195903,0.23,1.47,-0.3,0.22
195904,3.59,-0.54,-1.34,0.2
195905,1.73,-2.12,1.79,0.22
195906,-0.19,0.59,1.44,0.25
195907,3.17,-0.28,0.23,0.25
195908,-1.43,-0.77,0.37,0.19
195909,-4.8,-0.14,0.49,0.31
195910,1.27,1.45,-2.01,0.3
195911,1.59,1.3,-3.31,0.26
195912,2.46,-0.56,-0.09,0.34
196001,-6.97,2.07,2.69,0.33
196002,1.13,0.58,-1.98,0.29
196003,-1.63,-0.46,-2.91,0.35
196004,-1.72,0.41,-2.41,0.19
196005,3.13,1.32,-3.81,0.27
196006,2.06,-0.17,-0.34,0.24
196007,-2.4,-0.5,2.13,0.13
196008,3.06,0.88,-0.41,0.17
196009,-6.02,-1.14,1.47,0.16
196010,-0.7,-3.91,2.61,0.22
196011,4.72,0.37,-2.5,0.13
196012,4.69,-1.46,-0.63,0.16
196101,6.2,0.85,3.75,0.19
196102,3.56,3.97,-0.87,0.14
196103,2.86,3.27,-0.69,0.2
196104,0.4,0.1,1.89,0.17
196105,2.4,2,0.52,0.18
196106,-3.05,-2.47,-0.29,0.2
196107,2.81,-1.92,-0.16,0.18
196108,2.55,-1.85,-0.24,0.14
196109,-2.17,-1.11,-0.49,0.17
196110,2.55,-2.03,0.47,0.19
196111,4.39,1.03,-0.94,0.15
196112,-0.12,-1.12,2.21,0.19
196201,-3.86,1.9,5.04,0.24
196202,1.75,-1.16,0.9,0.2
196203,-0.67,0.22,-0.99,0.2
196204,-6.57,-0.97,0.39,0.22
196205,-8.71,-3.01,2.29,0.24
196206,-8.46,-0.74,2.88,0.2
196207,6.28,1.56,-3.65,0.27
196208,2.11,1.27,-1.19,0.23
196209,-5.23,-2.57,1.44,0.21
196210,-0.04,-3.97,1.25,0.26
196211,10.81,2.68,1.01,0.2
196212,0.96,-3.82,0.31,0.23
196301,4.93,3.1,2.26,0.25
196302,-2.42,0.38,2.26,0.23
196303,3.06,-2.54,2.16,0.23
196304,4.49,-1.35,1.09,0.25
196305,1.77,1.09,2.76,0.24
196306,-2.03,-0.25,0.79,0.23
196307,-0.44,-0.46,-0.97,0.27
196308,5.02,-1.08,1.79,0.25
196309,-1.46,-0.32,0.19,0.27
196310,2.48,-0.58,-0.02,0.29
196311,-0.82,-1.06,1.59,0.27
196312,1.88,-2,0.02,0.29
196401,2.28,-0.16,1.55,0.3
196402,1.46,0.03,2.89,0.26
196403,1.45,0.93,3.4,0.31
196404,0.17,-1.39,-0.5,0.29
196405,1.48,-0.92,1.93,0.26
196406,1.21,-0.27,0.73,0.3
196407,1.71,0.16,0.8,0.3
196408,-1.41,-0.01,0.25,0.28
196409,2.77,-0.71,1.79,0.28
196410,0.6,0.45,1,0.29
196411,0.02,0.66,-1.95,0.29
196412,0.06,-0.3,-2.54,0.31
196501,3.58,2.5,0.43,0.28
196502,0.39,3.28,0.43,0.3
196503,-1.33,1.77,1.12,0.36
196504,3.06,1.06,0.81,0.31
196505,-0.75,0.06,-1.59,0.31
196506,-5.54,-4.18,0.41,0.35
196507,1.37,0.87,2.22,0.31
196508,2.76,2.86,-1.02,0.33
196509,2.89,0.62,-0.1,0.31
196510,2.62,2.42,1.64,0.31
196511,-0.04,4.66,0.24,0.35
196512,1.02,2.07,2.06,0.33
196601,0.83,3.86,3.58,0.38
196602,-1.21,4.44,0.39,0.35
196603,-2.47,0.97,-1.95,0.38
196604,2.14,3.43,-0.39,0.34
196605,-5.66,-4.66,-1.67,0.41
196606,-1.41,1.07,0.58,0.38
196607,-1.64,-0.48,1.08,0.35
196608,-7.95,-3.32,0.52,0.41
196609,-1.1,-1.08,0.43,0.4
196610,3.78,-6.56,2.83,0.45
196611,1.35,4.45,-4.8,0.4
196612,0.22,1.93,-1.31,0.4
196701,8.12,8.51,1.82,0.43
196702,0.73,3.31,-2.2,0.36
196703,3.95,1.66,0.3,0.39
196704,3.84,0.59,-2.51,0.32
196705,-4.26,1.95,1,0.33
196706,2.42,5.97,1.08,0.27
196707,4.6,3.08,2.64,0.32
196708,-0.94,0.51,1.47,0.31
196709,3.11,3.04,-2.48,0.32
196710,-3.13,1.41,-3.39,0.39
196711,0.43,0.09,-1.76,0.36
196712,3.04,5.71,-0.43,0.33
196801,-4.03,3.94,4.79,0.4
196802,-3.75,-2.91,1.21,0.39
196803,0.13,-1.33,-0.51,0.38
196804,8.98,5.69,-1.15,0.43
196805,2.25,6.38,0.91,0.45
196806,0.72,-0.16,0.72,0.43
196807,-2.68,-1.39,5.4,0.48
196808,1.38,2.36,0.96,0.42
196809,4.02,2.78,0.23,0.43
196810,0.46,-0.56,2.99,0.44
196811,5.43,2.36,-0.95,0.42
196812,-3.82,3.4,0.06,0.43
196901,-1.2,-0.81,1.57,0.53
196902,-5.82,-3.89,0.91,0.46
196903,2.59,-0.32,-0.42,0.46
196904,1.52,-0.92,0.1,0.53
196905,0.02,-0.35,0.85,0.48
196906,-7.25,-5.26,-1.25,0.51
196907,-7.05,-3.23,1.32,0.53
196908,4.65,0.84,-3.79,0.5
196909,-2.88,1.18,-3.21,0.62
196910,4.96,3.74,-3.11,0.6
196911,-3.74,-2.55,-1.13,0.52
196912,-2.61,-3.63,-2.96,0.64
197001,-7.93,2.97,3.01,0.6
197002,5.05,-2.42,3.94,0.62
197003,-1.04,-2.4,4.17,0.57
197004,-11.03,-6.11,6.25,0.5
197005,-6.96,-4.51,3.45,0.53
197006,-5.69,-2.16,0.82,0.58
197007,6.9,-0.57,0.98,0.52
197008,4.47,1.49,1.18,0.53
197009,4.21,8.63,-5.59,0.54
197010,-2.28,-4.27,0.26,0.46
197011,4.58,-4.05,1.72,0.46
197012,5.65,2.9,1.05,0.42
197101,4.82,7.56,1.45,0.38
197102,1.36,1.84,-1.34,0.33
197103,4.18,2.52,-3.96,0.3
197104,3.05,-0.48,0.95,0.28
197105,-3.93,-1.17,-1.31,0.29
197106,-0.06,-1.37,-2.15,0.37
197107,-4.43,-1.43,-0.02,0.4
197108,3.78,-0.18,2.7,0.47
197109,-0.87,0.42,-2.96,0.37
197110,-4.44,-1.76,-0.54,0.37
197111,-0.5,-2.84,-1.73,0.37
197112,8.76,3.33,-0.11,0.37
197201,2.55,6.06,2.14,0.29
197202,2.88,1.35,-2.76,0.25
197203,0.6,-0.3,-1.67,0.27
197204,0.26,0.02,0.38,0.29
197205,1.34,-2.75,-2.7,0.3
197206,-2.38,0.37,-2.44,0.29
197207,-0.74,-2.87,0.8,0.31
197208,3.31,-4.03,4.6,0.29
197209,-1.11,-2.63,0.41,0.34
197210,0.47,-2.69,1.3,0.4
197211,4.61,-1.07,4.8,0.37
197212,0.75,-1.83,-2.29,0.37
197301,-3.2,-3.48,2.75,0.44
197302,-4.86,-3.96,1.72,0.41
197303,-1.25,-2.85,2.71,0.46
197304,-5.7,-3.99,5.58,0.52
197305,-2.96,-6.02,0.19,0.51
197306,-1.38,-2.93,1.35,0.51
197307,5.07,7.93,-5.31,0.64
197308,-3.67,-2.14,1.29,0.7
197309,4.72,2.89,2.13,0.68
197310,-0.68,-0.22,1.8,0.65
197311,-12.64,-7.72,3.99,0.56
197312,0.5,-5.34,4.15,0.64
197401,-0.19,9.81,5.78,0.63
197402,-0.35,-0.05,2.49,0.58
197403,-2.9,2.4,-0.07,0.56
197404,-5.35,-0.84,1,0.75
197405,-4.95,-2.96,-1.98,0.75
197406,-2.89,-0.16,0.82,0.6
197407,-7.79,0.78,5.31,0.7
197408,-9.38,-0.66,2.59,0.6
197409,-11.78,0.28,5.56,0.81
197410,16.05,-3.4,-9.85,0.51
197411,-4.64,-1.16,-0.18,0.54
197412,-3.4,-4.9,0.2,0.7
197501,13.58,10.93,8.06,0.58
197502,5.41,0.23,-4.52,0.43
197503,2.61,3.74,2.54,0.41
197504,4.21,-0.51,-1.23,0.44
197505,5.07,3.91,-4.26,0.44
197506,4.74,0.77,1.32,0.41
197507,-6.52,2.68,1.66,0.48
197508,-2.84,-3.23,-0.83,0.48
197509,-4.33,-0.06,0.44,0.53
197510,5.03,-4.04,0.3,0.56
197511,2.71,-1.2,2.06,0.41
197512,-1.58,-0.8,1.76,0.48
197601,12.13,4.76,8.55,0.47
197602,0.39,6.97,5.84,0.34
197603,2.28,-1.19,-0.15,0.4
197604,-1.46,-0.04,-0.05,0.42
197605,-1.31,-1.22,-1.33,0.37
197606,4.02,-1.34,0.76,0.43
197607,-1.09,0.28,1.75,0.47
197608,-0.56,-1.95,0.85,0.42
197609,2.01,0.02,-0.3,0.44
197610,-2.45,0.16,-0.18,0.41
197611,0.14,2.34,1.46,0.4
197612,5.76,2.98,2.26,0.4
197701,-3.99,4.82,4.29,0.36
197702,-1.93,1.08,0.5,0.35
197703,-1.3,1.03,1.09,0.38
197704,0.12,-0.11,3.41,0.38
197705,-1.45,1.25,0.87,0.37
197706,4.74,2.2,-0.66,0.4
197707,-1.7,2.11,-0.57,0.42
197708,-1.78,1.54,-2.79,0.44
197709,-0.27,1.44,-0.44,0.43
197710,-4.42,1.28,1.81,0.49
197711,4.04,3.71,0.36,0.5
197712,0.33,1.36,-0.32,0.49
197801,-6.01,2.23,3.3,0.49
197802,-1.39,3.62,0.88,0.46
197803,2.87,3.4,1.23,0.53
197804,7.74,0.34,-3.47,0.54
197805,1.81,4.61,-0.61,0.51
197806,-1.62,1.74,0.56,0.54
197807,5.11,0.28,-1.12,0.56
197808,3.69,5.08,-0.49,0.55
197809,-1.31,-0.4,1.91,0.62
197810,-11.78,-9.95,1.41,0.68
197811,2.68,3.13,-2.23,0.7
197812,0.99,1.26,-2.09,0.78
197901,4.18,3.68,2.15,0.77
197902,-3.41,0.44,1.18,0.73
197903,5.75,3.18,-0.62,0.81
197904,0.05,2.17,1.12,0.8
197905,-2.18,0.25,1.48,0.82
197906,3.88,1.15,1.34,0.81
197907,0.73,1.3,1.79,0.77
197908,5.7,2.02,-1.55,0.77
197909,-0.69,-0.29,-0.89,0.83
197910,-8.14,-3.29,-1.88,0.87
197911,5.37,2.79,-3.29,0.99
197912,1.87,4.17,-2.01,0.95
198001,5.76,1.68,1.78,0.8
198002,-0.79,-1.81,0.55,0.89
198003,-13.23,-6.63,-1.04,1.21
198004,3.97,1.05,1.06,1.26
198005,5.2,2.08,0.36,0.81
198006,3.16,1.69,-0.86,0.61
198007,6.41,4.26,-6.15,0.53
198008,1.72,3.98,-2.75,0.64
198009,2.2,0.92,-4.66,0.75
198010,1.06,2.52,-2.8,0.95
198011,9.53,-3.34,-8.46,0.96
198012,-4.75,-0.33,2.68,1.31
198101,-5.05,2.94,6.84,1.04
198102,0.48,-0.34,1.08,1.07
198103,3.41,3.51,0.66,1.21
198104,-2.21,4.4,2.29,1.08
198105,0.21,2.03,-0.43,1.15
198106,-2.37,-0.86,5.14,1.35
198107,-1.55,-2.14,-0.61,1.24
198108,-6.91,-1.96,4.78,1.28
198109,-7.62,-2.64,5.22,1.24
198110,4.81,2.2,-4.2,1.21
198111,3.52,-1.04,1.87,1.07
198112,-3.68,1.21,0.79,0.87
198201,-3.42,-1.19,3.12,0.8
198202,-6.03,0.49,6,0.92
198203,-1.99,-0.18,3.9,0.98
198204,3.2,1.55,-2.75,1.13
198205,-3.88,0.53,1.85,1.06
198206,-3.35,-0.37,1.54,0.96
198207,-3.1,0.94,0.24,1.05
198208,11.14,-4.18,1.14,0.76
198209,1.17,2.96,0.41,0.51
198210,11.27,2.3,-3.73,0.59
198211,4.56,4.78,-1.91,0.63
198212,0.78,-0.18,0.04,0.67
198301,3.5,2.69,-0.91,0.69
198302,2.4,3.26,0.72,0.62
198303,2.84,1.79,2.06,0.63
198304,6.71,0.48,0.57,0.71
198305,0.63,6.15,-1.47,0.69
198306,3.11,0.96,-3.86,0.67
198307,-3.9,1.53,5.63,0.74
198308,-0.41,-4.33,5.49,0.76
198309,0.85,0.57,1.04,0.76
198310,-3.56,-3.6,4.98,0.76
198311,2.26,1.98,-0.69,0.7
198312,-1.78,-0.28,1.69,0.73
198401,-2.06,-0.41,7.58,0.76
198402,-4.62,-1.66,3.34,0.71
198403,0.61,0.12,0.5,0.73
198404,-0.56,-1.13,1.31,0.81
198405,-6.01,0.05,0.23,0.78
198406,1.59,-0.25,-2.57,0.75
198407,-2.88,-2.32,0.28,0.82
198408,10.44,-0.21,-1.77,0.83
198409,-0.82,0.26,5.33,0.86
198410,-1.01,-1.21,0.5,1
198411,-1.8,-0.66,4,0.73
198412,1.73,-0.56,-0.1,0.64
198501,7.92,3.25,-5.34,0.65
198502,1.11,0.81,-0.14,0.58
198503,-0.79,-1.09,4.01,0.62
198504,-0.94,0.15,3.69,0.72
198505,4.92,-2.29,-0.89,0.66
198506,1.16,0.5,0.44,0.55
198507,-0.65,2.84,-1.64,0.62
198508,-1.03,-0.36,2.17,0.55
198509,-4.58,-1.62,1.21,0.6
198510,3.79,-1.56,0.68,0.65
198511,6.31,0.17,-2.88,0.61
198512,3.66,-0.41,-1.46,0.65
198601,0.42,1.16,0.52,0.56
198602,6.72,-0.51,-0.64,0.53
198603,4.79,-0.54,-0.48,0.6
198604,-1.31,2.77,-2.91,0.52
198605,4.59,-1.23,-0.11,0.49
198606,0.9,-0.89,1.37,0.52
198607,-6.49,-3.44,4.73,0.52
198608,6.16,-4.18,3.52,0.46
198609,-8.35,2.32,3.23,0.45
198610,4.47,-2.56,-1.39,0.46
198611,1.12,-1.96,-0.14,0.39
198612,-3.13,0.07,0.29,0.49
198701,12.43,-1.71,-3.1,0.42
198702,4.36,3.43,-5.9,0.43
198703,1.9,0.39,1.63,0.47
198704,-2.14,-1.68,-0.23,0.44
198705,0.13,-0.46,0.23,0.38
198706,3.89,-2.1,1.15,0.48
198707,3.96,-0.63,0.77,0.46
198708,3.24,-0.81,-1.02,0.47
198709,-2.53,0.56,0.3,0.45
198710,-23.14,-8.38,4.19,0.6
198711,-7.58,2.61,3.13,0.35
198712,6.64,0.16,-4.37,0.39
198801,4.2,-0.69,5.13,0.29
198802,4.71,3.35,-1.62,0.46
198803,-2.1,6.19,0.78,0.44
198804,0.64,0.96,1.67,0.46
198805,-0.47,-2.67,2.23,0.51
198806,4.66,2.01,-1.22,0.49
198807,-1.24,-0.18,2.29,0.51
198808,-3.39,0.11,2.1,0.59
198809,3.1,-1.3,-0.74,0.62
198810,1.15,-2.98,1.61,0.61
198811,-2.21,-1.76,1.28,0.57
198812,1.48,1.92,-1.58,0.63
198901,6.06,-2.2,0.49,0.55
198902,-2.25,2.77,0.88,0.61
198903,1.48,0.74,0.48,0.67
198904,4.15,-0.53,-1.37,0.67
198905,3.14,-0.05,-0.84,0.79
198906,-1.2,-0.99,2.18,0.71
198907,7.01,-4.03,-2.69,0.7
198908,1.47,0.55,0.59,0.74
198909,-0.8,0.35,-1.26,0.65
198910,-3.61,-3.19,-1.04,0.68
198911,1.09,-1.23,-1.12,0.69
198912,1.22,-2.31,0.34,0.61
199001,-7.58,-1.25,0.83,0.57
199002,0.92,1.11,0.67,0.57
199003,1.77,1.51,-2.89,0.64
199004,-3.52,-0.45,-2.41,0.69
199005,8.21,-2.48,-3.65,0.68
199006,-1.05,1.39,-2.17,0.63
199007,-1.62,-3.2,-0.07,0.68
199008,-9.85,-3.53,1.48,0.66
199009,-5.98,-3.65,0.66,0.6
199010,-1.93,-5.54,0.25,0.68
199011,6,0.26,-2.92,0.57
199012,2.35,0.77,-1.51,0.6
199101,4.39,3.81,-1.68,0.52
199102,7.1,3.9,-0.6,0.48
199103,2.45,3.92,-1.18,0.44
199104,-0.2,0.57,1.4,0.53
199105,3.6,-0.35,-0.6,0.47
199106,-4.82,0.08,1.23,0.42
199107,4.19,-0.86,-1.25,0.49
199108,2.22,1.61,-0.76,0.46
199109,-1.56,1.68,-1.03,0.46
199110,1.36,0.82,-0.41,0.42
199111,-4.12,-0.56,-1.78,0.39
199112,10.3,-2.35,-3.92,0.38
199201,-0.46,8.45,4.6,0.34
199202,1.06,0.81,6.35,0.28
199203,-2.71,-1.12,3.68,0.34
199204,1.02,-6.05,4.35,0.32
199205,0.36,0.42,1.18,0.28
199206,-2.25,-3.06,3.3,0.32
199207,3.68,-0.39,-0.55,0.31
199208,-2.34,-0.07,-1.03,0.26
199209,0.98,0.57,-0.2,0.26
199210,0.87,2.08,-2,0.23
199211,3.79,3.58,-1.55,0.23
199212,1.5,1.64,2.52,0.28
199301,1.03,2,5.81,0.23
199302,0.32,-3.35,6.48,0.22
199303,2.26,0.32,1.31,0.25
199304,-2.78,-0.62,2.72,0.24
199305,2.74,2.01,-3.43,0.22
199306,0.29,-0.31,2.59,0.25
199307,-0.32,0.96,3.24,0.24
